CustomerID,Recency,Frequency,Monetary,RFMScore,KMeansCluster,Segment
14646,2,73,280206.02,444,1,"Loyal Customers"
18102,1,60,259657.3,444,1,"Loyal Customers"
17450,8,46,194550.79,444,1,"Loyal Customers"
16446,1,2,168472.5,444,1,"Loyal Customers"
14911,1,201,143825.06,444,1,"Loyal Customers"
12415,24,21,124914.53,444,1,"Loyal Customers"
14156,10,55,117379.63,444,1,"Loyal Customers"
17511,3,31,91062.38,444,1,"Loyal Customers"
16029,39,63,81024.84,444,1,"Loyal Customers"
12346,326,1,77183.6,444,2,"Hibernating"
16684,4,28,66653.56,444,1,"Loyal Customers"
14096,4,17,65164.79,444,1,"Loyal Customers"
13694,4,50,65039.62,444,1,"Loyal Customers"
15311,1,91,60767.9,444,1,"Loyal Customers"
13089,3,97,58825.83,444,1,"Loyal Customers"
